,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
4105,Budding Prospects,2017,18+,7.3,80%,0,0,1,0,1
4106,The Last Place on Earth,1985,16+,8.1,,0,0,1,0,1
4107,Fury,1955,,7.3,,0,0,1,0,1
4108,The Adventures of Maya the Honey Bee,1975,all,6.7,,0,0,1,0,1
4109,The Gymkhana Files,2018,,7.9,,0,0,1,0,1
4110,Merlin's Apprentice,2006,16+,5.3,,0,0,1,0,1
4111,Zero Hour,2004,7+,7.9,,0,0,1,0,1
4112,Nova ScienceNow,2005,all,8.5,,0,0,1,0,1
4113,Prime Suspect: Tennison,2017,16+,7.5,47%,0,0,1,0,1
4114,All or Nothing: The Dallas Cowboys,2018,18+,7.7,,0,0,1,0,1
4115,Highlander: The Raven,1998,7+,5.3,,0,0,1,0,1
4116,Gator Boys,2012,,7,,0,0,1,0,1
4117,Mamon,2015,,7.4,,0,0,1,0,1
4118,WordWorld,2007,all,6.7,,0,0,1,0,1
4119,Mansfield Park,1983,all,6.7,,0,0,1,0,1
4120,Nanny 911,2004,7+,5.4,,0,0,1,0,1
4121,Unscripted,2005,,7.1,,0,0,1,0,1
4122,Salvage Hunters,2011,,7.8,,0,0,1,0,1
4123,Sensing Murder,2006,,6.1,,0,0,1,0,1
4124,Pete the Cat,2017,all,7.5,,0,0,1,0,1
4125,True Tears,2008,7+,7.3,,0,0,1,0,1
4126,JourneyQuest,2010,,7.9,,0,0,1,0,1
4127,East West 101,2007,18+,7.3,,0,0,1,0,1
4128,Green Paradise,2011,all,9.3,,0,0,1,0,1
4129,Life In Squares,2015,,6.5,,0,0,1,0,1
4130,Shakespeare Uncovered,2012,,8.5,,0,0,1,0,1
4131,One Mic Stand,2019,,6.6,,0,0,1,0,1
4132,Alice in Paris,2016,,8.9,,0,0,1,0,1
4133,Urban Legends,2007,,6.7,,0,0,1,0,1
4134,Boarding School Juliet,2018,16+,6.8,,0,0,1,0,1
4135,Hooked,2015,18+,7.6,,0,0,1,0,1
4136,Lorna Doone,2000,,6.9,,0,0,1,0,1
4137,Hearts Afire,1992,7+,7,50%,0,0,1,0,1
4138,10.5: Apocalypse,2006,,4.5,,0,0,1,0,1
4139,Lost in Oz,2015,7+,7.7,,0,0,1,0,1
4140,Dino Dan,2009,all,5.2,,0,0,1,0,1
4141,Finding Bigfoot,2011,7+,4.2,,0,0,1,0,1
4142,Kannazuki no Miko,2004,16+,6.6,,0,0,1,0,1
4143,Great Expectations,1998,18+,7.2,37%,0,0,1,0,1
4144,Peg + Cat,2013,all,7.8,,0,0,1,0,1
4145,Pioneers of Television,2008,7+,7.9,,0,0,1,0,1
4146,Tangle,2009,,7.7,,0,0,1,0,1
4147,Inuyashiki Last Hero,2017,,6.6,,0,0,1,0,1
4148,Eat the World with Emeril Lagasse,2016,16+,7.9,,0,0,1,0,1
4149,The History of Tom Jones,1997,,7.6,,0,0,1,0,1
4150,Shifting Gears with Aaron Kaufman,2018,,5.6,,0,0,1,0,1
4151,Namaste Yoga,2005,,7.4,,0,0,1,0,1
4152,Pensacola: Wings of Gold,1997,,6.1,,0,0,1,0,1
4153,Most Haunted,2002,,5,,0,0,1,0,1
4154,Grimoire of Zero,2017,16+,7,,0,0,1,0,1
4155,Flipper,1995,,5.4,,0,0,1,0,1
4156,"Kokkoku, Moment by Moment",2018,18+,7,,0,0,1,0,1
4157,Canimals,2011,all,7,,0,0,1,0,1
4158,The Jury,2002,,7.7,,0,0,1,0,1
4159,18 to Life,2010,,6,20%,0,0,1,0,1
4160,American Ripper,2017,16+,6.3,,0,0,1,0,1
4161,HBO Comedy Half-Hour,1994,7+,7.9,,0,0,1,0,1
4162,Fireball XL5,1962,7+,7.4,,0,0,1,0,1
4163,Just Because!,2017,7+,6.8,,0,0,1,0,1
4164,Soviet Storm: WWII in the East,2011,7+,,,0,0,1,0,1
4165,El Dorado,2010,,4.7,,0,0,1,0,1
4166,Love in a Cold Climate,1980,,7.7,,0,0,1,0,1
4167,Worricker,2011,,8.9,,0,0,1,0,1
4168,50 Ways To Kill Your Mammy,2014,,8.1,,0,0,1,0,1
4169,Meet the Romans with Mary Beard,2012,,7.9,,0,0,1,0,1
4170,The Underground,2006,18+,5.4,,0,0,1,0,1
4171,The Roy Rogers Show,1951,,7.2,,0,0,1,0,1
4172,La Femme Musketeer,2004,,5.7,,0,0,1,0,1
4173,Shirley Temple's Storybook,1958,,7.6,,0,0,1,0,1
4174,Til Debt Do Us Part,2005,,7.7,,0,0,1,0,1
4175,Fireman Sam,1987,all,6.2,,0,0,1,0,1
4176,Fighter of the Destiny,2017,,7.4,,0,0,1,0,1
4177,Nature Cat,2015,all,7.1,,0,0,1,0,1
4178,Blade of the Immortal,2008,16+,6.7,,0,0,1,0,1
4179,Happy Sugar Life,2018,,6.3,,0,0,1,0,1
4180,Clifford's Puppy Days,2003,all,6.7,,0,0,1,0,1
4181,Wild Boys,2011,7+,7,,0,0,1,0,1
4182,Girl/Girl Scene,2010,18+,5.4,,0,0,1,0,1
4183,When We Go to War,2015,16+,7,,0,0,1,0,1
4184,1st & Ten,1984,,6.4,,0,0,1,0,1
4185,The Danny Thomas Show,1957,all,7.4,,0,0,1,0,1
4186,The Simple Life,2003,16+,3.8,35%,0,0,1,0,1
4187,The Legend of William Tell,1998,,7.2,,0,0,1,0,1
4188,L.A. Heat,1999,,7.4,,0,0,1,0,1
4189,Geeking Out,2016,,7.2,,0,0,1,0,1
4190,The Legend of Prince Valiant,1991,all,7.4,,0,0,1,0,1
4191,IRODUKU: The World in Colors,2018,16+,7.3,,0,0,1,0,1
4192,Body & Soul,1993,,8.1,,0,0,1,0,1
4193,Princess Principal,2017,18+,7.3,,0,0,1,0,1
4194,The R.I.P. Files,2012,,7.6,,0,0,1,0,1
4195,Six Dreams,2018,,7.9,,0,0,1,0,1
4196,Flash Gordon,2007,7+,4.8,15%,0,0,1,0,1
4197,Black Widows,2014,,6.8,,0,0,1,0,1
4198,Beatless,2018,,5.6,,0,0,1,0,1
4199,The Veil,1958,,7.5,,0,0,1,0,1
4200,Leah Remini: It's All Relative,2014,16+,6.9,,0,0,1,0,1
4201,The Sea Hunters,2002,all,8,,0,0,1,0,1
4202,Cape Town,2016,16+,6.1,,0,0,1,0,1
4203,Stingray,1964,,7.3,,0,0,1,0,1
4204,The Occult History of the Third Reich,1990,,7.1,,0,0,1,0,1
4205,Fluffy's Food Adventures,2015,7+,6.9,,0,0,1,0,1
4206,The Brief,2004,,7.3,,0,0,1,0,1
4207,Rebel,2017,16+,5.2,38%,0,0,1,0,1
4208,"Philip Marlowe, Private Eye",1983,,7.9,,0,0,1,0,1
4209,Transformers: Combiner Wars,2016,16+,5.5,,0,0,1,0,1
4210,The Rebel,1959,,7.7,,0,0,1,0,1
4211,Walking Through History,2013,,8.1,,0,0,1,0,1
4212,In Justice,2006,,7.3,,0,0,1,0,1
4213,Barter Kings,2012,7+,5,,0,0,1,0,1
4214,Angel's Friends,2009,,7.4,,0,0,1,0,1
4215,An American Girl Story - Melody 1963: Love Has to Win,2016,all,7.6,,0,0,1,0,1
4216,Metropolis,2015,,7.7,,0,0,1,0,1
4217,Decoy,1957,,7.9,,0,0,1,0,1
4218,Date My Dad,2017,all,7.2,,0,0,1,0,1
4219,"If It's for My Daughter, I'd Even Defeat a Demon Lord",2019,,,,0,0,1,0,1
4220,The Annoying Orange,2009,7+,,,0,0,1,0,1
4221,Starhunter ReduX,2018,,5.6,,0,0,1,0,1
4222,Crime Investigation Australia,2005,18+,7.9,,0,0,1,0,1
4223,Niko and the Sword of Light,2017,all,7.7,,0,0,1,0,1
4224,Mr. Lucky,1959,,7.8,,0,0,1,0,1
4225,The Eleven,2017,16+,6.7,,0,0,1,0,1
4226,Blippi,2016,all,8.2,,0,0,1,0,1
4227,Annedroids,2014,all,6.2,,0,0,1,0,1
4228,Bizarre ER,2008,,7.5,,0,0,1,0,1
4229,GetBackers,2002,16+,7.4,,0,0,1,0,1
4230,A Very British Coup,1988,18+,8.3,,0,0,1,0,1
4231,This Is Personal: The Hunt for the Yorkshire Ripper,2000,,7.7,,0,0,1,0,1
4232,ToddWorld,2004,,6.8,,0,0,1,0,1
4233,Child Genius,2015,7+,6.9,,0,0,1,0,1
4234,Oasis,2017,18+,8.3,,0,0,1,0,1
4235,Plane Resurrection,2016,,7.1,,0,0,1,0,1
4236,Strange Events,2017,,4.8,,0,0,1,0,1
4237,Atlantis High,2001,all,7.9,,0,0,1,0,1
4238,Charlie's Angels,2011,16+,4.4,,0,0,1,0,1
4239,Welcome to the Ballroom,2017,16+,7.7,,0,0,1,0,1
4240,Julia and Jacques Cooking at Home,1999,all,8.6,,0,0,1,0,1
4241,The Hive,2010,all,6.8,,0,0,1,0,1
4242,Homefront,2012,16+,6.4,,0,0,1,0,1
4243,Ancient Inventions,1998,,7.8,,0,0,1,0,1
4244,America Divided,2016,16+,3.8,,0,0,1,0,1
4245,Comicstaan,2018,18+,6.8,,0,0,1,0,1
4246,The Casagrandes,2019,,6.5,,0,0,1,0,1
4247,Hitler's bodyguard,2010,7+,7.6,,0,0,1,0,1
4248,My Girlfriend is Shobitch,2017,,,,0,0,1,0,1
4249,Enemy at the Door,1978,,7.8,,0,0,1,0,1
4250,The Stinky & Dirty Show,2016,all,7.1,,0,0,1,0,1
4251,Sergeant Preston of the Yukon,1955,,7.6,,0,0,1,0,1
4252,Long Shadow,2014,,7.8,,0,0,1,0,1
4253,Rage of Bahamut Virgin Soul,2017,,7.3,,0,0,1,0,1
4254,Busytown Mysteries,2007,all,6.3,,0,0,1,0,1
4255,Game of Arms,2014,,6.2,,0,0,1,0,1
4256,Love and Lies,2017,16+,5.9,,0,0,1,0,1
4257,Single and Anxious,2016,,9.2,,0,0,1,0,1
4258,Warrior Women,2003,,8,,0,0,1,0,1
4259,Alexander the Great,2014,7+,6.8,,0,0,1,0,1
4260,Truckers,2013,,6.8,,0,0,1,0,1
4261,Unsealed: Conspiracy Files,2012,,6.2,,0,0,1,0,1
4262,Arthur & George,2015,all,5.5,,0,0,1,0,1
4263,Bad Guy,2010,16+,7.8,,0,0,1,0,1
4264,Tokyo Girl,2016,,8.1,,0,0,1,0,1
4265,"Lancelot Link, Secret Chimp",1970,,7.5,,0,0,1,0,1
4266,Postcards from Buster,2004,all,6.1,,0,0,1,0,1
4267,The White Guard,2012,,6.2,,0,0,1,0,1
4268,The Pitch,2012,,7,,0,0,1,0,1
4269,Spaceballs: The Animated Series,2008,18+,4.3,,0,0,1,0,1
4270,Full Custom Garage,2014,,8.4,,0,0,1,0,1
4271,On the Spot,2014,,8.1,,0,0,1,0,1
4272,Bonekickers,2008,,4.9,,0,0,1,0,1
4273,No Easy Days,2018,,5.6,,0,0,1,0,1
4274,The Nightmare Worlds of H.G. Wells,2016,,6,,0,0,1,0,1
4275,Big Pacific,2017,all,8.4,,0,0,1,0,1
4276,A Fortunate Life,1986,7+,7.9,,0,0,1,0,1
4277,Yuki Yuna is a Hero,2014,16+,6.6,,0,0,1,0,1
4278,Crime Stories,1999,,7.3,,0,0,1,0,1
4279,Wildest Africa,2013,7+,8.1,,0,0,1,0,1
4280,Wild America,1982,all,8.6,,0,0,1,0,1
4281,Jayde Adams: Serious Black Jumper,2020,,6.9,,0,0,1,0,1
4282,Day Zero,2013,,7,,0,0,1,0,1
4283,Pioneer Quest: A Year in the Real West,2000,,7.2,,0,0,1,0,1
4284,The Pickwick Papers,1985,,7.1,,0,0,1,0,1
4285,Westinghouse Studio One,1948,,7.8,,0,0,1,0,1
4286,Strowlers,2018,,5.3,,0,0,1,0,1
4287,Secrets of Archeology,2014,,7.7,,0,0,1,0,1
4288,The Manners of Downton Abbey,2015,,7.6,,0,0,1,0,1
4289,Inside Jokes,2018,16+,7.2,,0,0,1,0,1
4290,A Little Snow Fairy Sugar,2001,,7.3,,0,0,1,0,1
4291,Switch,2012,,6.7,,0,0,1,0,1
4292,Grand Star,2007,,5.6,,0,0,1,0,1
4293,Jack Hunter and the Lost Treasure of Ugarit,2008,7+,4.7,,0,0,1,0,1
4294,Handcrafted America,2016,,8.7,,0,0,1,0,1
4295,Pound House,2013,,8.3,,0,0,1,0,1
4296,Wild Roses,2009,,6.9,,0,0,1,0,1
4297,Amish Mafia,2012,16+,3,,0,0,1,0,1
4298,The Vigilantes in Masks,2011,16+,7.8,,0,0,1,0,1
4299,Only in America with Larry the Cable Guy,2011,16+,6.4,,0,0,1,0,1
4300,The Detectives,2015,,7.8,,0,0,1,0,1
4301,The Queen,2009,,7.2,,0,0,1,0,1
4302,Real People,1979,,7.1,,0,0,1,0,1
4303,Samurai Girls,2010,18+,6.6,,0,0,1,0,1
4304,Drop Kick on my Devil!,2018,,6.4,,0,0,1,0,1
4305,Contact,2015,,7.5,,0,0,1,0,1
4306,America Revealed,2012,,8,,0,0,1,0,1
4307,Black Harbour,1996,,7.8,,0,0,1,0,1
4308,The Naked Archaeologist,2005,,7.3,,0,0,1,0,1
4309,Ilana Glazer: The Planet Is Burning,2020,,3.7,,0,0,1,0,1
4310,Are You Lost?,2019,,6.2,,0,0,1,0,1
4311,Tokyo Vampire Hotel,2018,,6.1,63%,0,0,1,0,1
4312,The Kacey Musgraves Christmas Show,2019,,7.2,,0,0,1,0,1
4313,Played,2013,,6.3,,0,0,1,0,1
4314,Goku Midnight Eye,1989,,6.9,,0,0,1,0,1
4315,The Swiss Family Robinson,1975,,6.8,,0,0,1,0,1
4316,Survive This,2009,7+,6.6,,0,0,1,0,1
4317,Il giovane Mussolini,1994,18+,5.8,,0,0,1,0,1
4318,Rob Delaney: Jackie,2020,,6.4,,0,0,1,0,1
4319,Wildest India,2012,,8.1,,0,0,1,0,1
4320,The Buccaneers,1956,,7.6,,0,0,1,0,1
4321,Londongrad,2015,7+,5.8,,0,0,1,0,1
4322,Thelma's Gypsy Girls,2012,,6.4,,0,0,1,0,1
4323,Making It In Music City,2017,,8.2,,0,0,1,0,1
4324,Pandora's Box,2012,16+,8.5,,0,0,1,0,1
4325,Circus,2010,7+,8.3,,0,0,1,0,1
4326,Zack Morris is Trash,2017,,7.8,,0,0,1,0,1
4327,Colonel March of Scotland Yard,1956,,7.3,,0,0,1,0,1
4328,Culture in Decline,2012,,8.4,,0,0,1,0,1
4329,Rome,2012,,5.7,,0,0,1,0,1
4330,Chillers,1990,,6.8,,0,0,1,0,1
4331,Stories from the Stone Age,2004,all,8.5,,0,0,1,0,1
4332,A Woman Named Jackie,1991,7+,6.7,,0,0,1,0,1
4333,The Karate Kid,1989,,4.9,,0,0,1,0,1
4334,Happy Marriage!?,2016,,7.3,,0,0,1,0,1
4335,Donnie Loves Jenny,2015,16+,5.4,,0,0,1,0,1
4336,那年花開月正圓,2017,7+,7.8,,0,0,1,0,1
4337,Hollywood Weapons,2017,7+,7.6,,0,0,1,0,1
4338,Science And Islam,2009,,8,,0,0,1,0,1
4339,Italy's Invisible Cities,2016,,8.1,,0,0,1,0,1
4340,999: What's Your Emergency?,2012,,7,,0,0,1,0,1
4341,The Adventures of Jim Bowie,1956,,7.1,,0,0,1,0,1
4342,Hero: 108,2010,all,5.5,,0,0,1,0,1
4343,Legend of Master Legend,2017,,,73%,0,0,1,0,1
4344,Password Plus,1979,all,7.6,,0,0,1,0,1
4345,Inventions That Shook the World,2011,,8.2,,0,0,1,0,1
4346,Ready Jet Go!,2016,all,6,,0,0,1,0,1
4347,Egypt (1998),1998,,8.3,,0,0,1,0,1
4348,Battle Castle,2012,,7.8,,0,0,1,0,1
4349,Geu-hu,2017,,6.9,,0,0,1,0,1
4350,The Roman Empire in the First Century,2001,,7.5,,0,0,1,0,1
4351,Wagner,1983,,7.7,,0,0,1,0,1
4352,Sworn to Secrecy: Secrets of War,1998,16+,7.4,,0,0,1,0,1
4353,Brum,1991,7+,6.2,,0,0,1,0,1
4354,Glorious Gardens from Above,2014,,,,0,0,1,0,1
4355,Mobile,2007,,7.4,,0,0,1,0,1
4356,Forensic Factor,2003,18+,7.3,,0,0,1,0,1
4357,Unsolved History,2002,,7,,0,0,1,0,1
4358,Harts of the West,1993,,7,,0,0,1,0,1
4359,Jestination Unknown,2019,16+,6.2,,0,0,1,0,1
4360,First Peoples,2015,all,7.9,,0,0,1,0,1
4361,Popeye and Son,1987,all,5.7,,0,0,1,0,1
4362,The Broker's Man,1997,,6.5,,0,0,1,0,1
4363,Cheetah in August,2015,,6.4,,0,0,1,0,1
4364,Flint: Redemption,2013,,5.3,,0,0,1,0,1
4365,Wildest Indochina,2014,,8.3,,0,0,1,0,1
4366,Animal Mechanicals,2008,all,5.7,,0,0,1,0,1
4367,Makimi,2013,,7.7,,0,0,1,0,1
4368,The Story of Women and Power,2018,,7,,0,0,1,0,1
4369,A Craftsman’s Legacy,2014,all,9,,0,0,1,0,1
4370,Ultimate Survival: Everest,2004,,7.2,,0,0,1,0,1
4371,Xavier Riddle and the Secret Museum,2019,all,7.6,,0,0,1,0,1
4372,Confessions: Animal Hoarding,2010,,7,,0,0,1,0,1
4373,World War II The Last Heroes,2011,,8.5,,0,0,1,0,1
4374,Billion Dollar Wreck,2016,7+,4.7,,0,0,1,0,1
4375,Seven Senses of the Re'Union,2018,,4.6,,0,0,1,0,1
4376,Marco Polo,2007,,6,,0,0,1,0,1
4377,Dusty's Trail,1973,,5.6,,0,0,1,0,1
4378,"Rich Bride, Poor Bride",2006,all,5.9,,0,0,1,0,1
4379,Gotthard,2016,,6.5,,0,0,1,0,1
4380,Sweet Dreams,2011,,,,0,0,1,0,1
4381,Xploration DIY Sci,2016,all,8.8,,0,0,1,0,1
4382,Horseland,2006,all,5.8,,0,0,1,0,1
4383,The Timeline,2015,,8.2,,0,0,1,0,1
4384,Wild North,2015,,7.3,,0,0,1,0,1
4385,The Snowy Day,2016,all,7.2,,0,0,1,0,1
4386,Cool McCool,1966,7+,7.2,,0,0,1,0,1
4387,Jackson's Wharf,1999,,6.3,,0,0,1,0,1
4388,Judge Faith,2014,7+,7,,0,0,1,0,1
4389,Dagger Kiss,2016,,5.3,,0,0,1,0,1
4390,"Amethyst, Princess of Gemworld",2013,,7.3,,0,0,1,0,1
4391,Beyond,2005,,7,,0,0,1,0,1
4392,Eat. Race. Win.,2018,,7.1,,0,0,1,0,1
4393,If You Give a Mouse a Cookie,2015,7+,6.1,,0,0,1,0,1
4394,All About Colors,2015,all,,,0,0,1,0,1
4395,The Back Pages,2017,,5.4,,0,0,1,0,1
4396,The Hunt,2014,,6.5,,0,0,1,0,1
4397,Baby Talk,1991,all,4.2,,0,0,1,0,1
4398,Fukuyadou Honpo: Kyoto Love Story,2016,,7.7,,0,0,1,0,1
4399,Vipo: Adventures of the Flying Dog,2007,,5.8,,0,0,1,0,1
4400,Perfect Couple,2014,,8.2,,0,0,1,0,1
4401,The New V.I.P.'s,2017,,,50%,0,0,1,0,1
4402,I Am Innocent,2015,18+,7.2,,0,0,1,0,1
4403,Hi-5,1999,all,6.4,,0,0,1,0,1
4404,YouTubers React,2012,,5,,0,0,1,0,1
4405,Blockbusters,1980,,7.2,,0,0,1,0,1
4406,The Amazing Gayl Pile,2015,,5.1,,0,0,1,0,1
4407,"Glenn Martin, DDS",2009,16+,4.1,36%,0,0,1,0,1
4408,Trail of Tears,1999,all,8.2,,0,0,1,0,1
4409,Liverpool 1,1998,7+,7,,0,0,1,0,1
4410,Onihei,2017,,7.4,,0,0,1,0,1
4411,The Dog Rescuers,2013,,7.7,,0,0,1,0,1
4412,Ghost Stories,1997,,6.6,,0,0,1,0,1
4413,Honest Ads,2017,,8.2,,0,0,1,0,1
4414,Project G.e.e.K.e.R.,1996,all,7.5,,0,0,1,0,1
4415,The Best of the Dean Martin Celebrity Roasts,1974,,,,0,0,1,0,1
4416,Catherine,2013,,7.1,,0,0,1,0,1
4417,Design Squad,2007,all,7.5,,0,0,1,0,1
4418,The Adventures of Kit Carson,1951,,7.4,,0,0,1,0,1
4419,Medieval Dead,2013,,7.4,,0,0,1,0,1
4420,The Ultimate Civil War Series: 150th Anniversary Edition,2012,,7.7,,0,0,1,0,1
4421,Knock Knock Ghost,2015,,6.8,,0,0,1,0,1
4422,Danger & Eggs,2017,all,6.6,44%,0,0,1,0,1
4423,Life on the Reef,2015,,8,,0,0,1,0,1
4424,"The Prize - The Epic Quest for Oil, Money and Power",1992,,8.3,,0,0,1,0,1
4425,Great Artists with Tim Marlow,2001,,8.2,,0,0,1,0,1
4426,Tricky Business,2012,,6.2,,0,0,1,0,1
4427,Engineering Giants,2012,,8.4,,0,0,1,0,1
4428,LEGO City,2011,all,5.2,,0,0,1,0,1
4429,Moses the Lawgiver,1975,all,6,,0,0,1,0,1
4430,Stacey David's GearZ,2010,all,8.8,,0,0,1,0,1
4431,Into the Wild,2014,,8.2,,0,0,1,0,1
4432,Dangerous Encounters,2005,all,7.1,,0,0,1,0,1
4433,Looped,2016,all,6.3,,0,0,1,0,1
4434,Hot Girl,2016,,6.6,,0,0,1,0,1
4435,Big Easy Motors,2016,7+,6.2,,0,0,1,0,1
4436,The Bug Diaries,2019,all,5.5,,0,0,1,0,1
4437,Clifford the Big Red Dog,2019,all,5.9,,0,0,1,0,1
4438,Infidelity,2011,,6.2,,0,0,1,0,1
4439,Jessy & Nessy,2020,all,8,,0,0,1,0,1
4440,Two Worlds,1998,,6.4,,0,0,1,0,1
4441,Greatest Tank Battles,2010,16+,7.2,,0,0,1,0,1
4442,Lunch Monkeys,2008,,6.4,,0,0,1,0,1
4443,Mystery Files,2010,all,7,,0,0,1,0,1
4444,Killer Wave,2007,16+,4.4,,0,0,1,0,1
4445,Mr. & Mrs. North,1952,,7.4,,0,0,1,0,1
4446,Immortal Egypt,2016,,8,,0,0,1,0,1
4447,Franny's Feet,2004,all,6.3,,0,0,1,0,1
4448,Hostages of the SS,2015,7+,7.4,,0,0,1,0,1
4449,Starhyke,2009,,3.8,,0,0,1,0,1
4450,Almost Naked Animals,2011,7+,3,,0,0,1,0,1
4451,Raggs,2006,,,,0,0,1,0,1
4452,Legends of Power with Tony Robinson,2003,,,,0,0,1,0,1
4453,Black Jack,1993,,7.4,,0,0,1,0,1
4454,Vials,2017,,,,0,0,1,0,1
4455,Nikola Tesla and the End of the World,2015,,5,,0,0,1,0,1
4456,Haunting: Australia,2014,16+,5.7,,0,0,1,0,1
4457,Tricked,2013,,7.3,,0,0,1,0,1
4458,For the Love of Ray J,2009,,3.3,,0,0,1,0,1
4459,WWII's Greatest Raids,2014,7+,7.1,,0,0,1,0,1
4460,999: Killer on the Line?,2016,,7.4,,0,0,1,0,1
4461,Hackers of CypherCon,2018,,7,,0,0,1,0,1
4462,Vatican Miracle Examiner,2017,,6.5,,0,0,1,0,1
4463,Battlefront,1999,,8.3,,0,0,1,0,1
4464,Creative Galaxy,2013,all,4.9,,0,0,1,0,1
4465,Chi's Sweet Adventure,2016,,7.5,,0,0,1,0,1
4466,Real Chance of Love,2008,,4.1,,0,0,1,0,1
4467,Judge Roy Bean,1955,,7.3,,0,0,1,0,1
4468,Dance Moms: Miami,2012,16+,4,,0,0,1,0,1
4469,Lidia's Kitchen,2013,all,7.6,,0,0,1,0,1
4470,Qumi-Qumi,2012,,8,,0,0,1,0,1
4471,Wildest Arctic,2012,,8.4,,0,0,1,0,1
4472,Roughing It,2002,,7,,0,0,1,0,1
4473,Kemurikusa,2019,all,7.1,,0,0,1,0,1
4474,Minecraft Villagers,2013,,6.8,,0,0,1,0,1
4475,Closer to Truth,2000,all,8.4,,0,0,1,0,1
4476,Devil's Brigade,2006,,7.1,,0,0,1,0,1
4477,Xploration Outer Space,2014,all,7.8,,0,0,1,0,1
4478,The Crimean War,2018,,7.7,,0,0,1,0,1
4479,Bali,2006,all,5.5,,0,0,1,0,1
4480,Time Team America,2009,all,6.5,,0,0,1,0,1
4481,Life in the Carolinas,2008,,7.8,,0,0,1,0,1
4482,Parents,2012,16+,5.8,,0,0,1,0,1
4483,Queens,2017,,6.3,,0,0,1,0,1
4484,Impossible Builds,2018,7+,7.2,,0,0,1,0,1
4485,72 Hours,2013,16+,5.8,,0,0,1,0,1
4486,Super Skyscrapers,2014,all,7.9,,0,0,1,0,1
4487,Renaissance Unchained,2016,,8.2,,0,0,1,0,1
4488,Barbie Dreamtopia,2017,,6.1,,0,0,1,0,1
4489,Brandi and Jarrod: Married to the Job,2014,,4.2,,0,0,1,0,1
4490,Doctor in the House,1969,,7.5,,0,0,1,0,1
4491,Ground Warfare,2010,,,,0,0,1,0,1
4492,Nature's Power Revealed,2008,,9,,0,0,1,0,1
4493,Owlegories,2016,,8.7,,0,0,1,0,1
4494,Fast Food Mania,2012,7+,7.7,,0,0,1,0,1
4495,Civilisation,2015,,6.4,,0,0,1,0,1
4496,The Attackers,2013,,7.1,,0,0,1,0,1
4497,Vanity,2015,,6.6,,0,0,1,0,1
4498,Millenniums,2018,,6.2,,0,0,1,0,1
4499,Wildest Latin America,2012,,,,0,0,1,0,1
4500,Pompidou,2015,,4,,0,0,1,0,1
4501,FBI Takedowns,2015,7+,7.8,,0,0,1,0,1
4502,First Civilizations,2018,,6.7,,0,0,1,0,1
4503,Miami Swat,2009,,7.5,,0,0,1,0,1
4504,The Celts,2001,,8,,0,0,1,0,1
4505,Ancient Roads from Christ to Constantine,2015,,8,,0,0,1,0,1
4506,The Sheriffs are Coming,2012,all,6.8,,0,0,1,0,1
4507,Crackanory,2013,,7,,0,0,1,0,1
4508,Enchantimals,2018,,8.7,,0,0,1,0,1
4509,Forensics: You Decide,2009,,7.2,,0,0,1,0,1
4510,Delayed Gratification Series,2017,,8.7,,0,0,1,0,1
4511,Cosmic Quantum Ray,2009,all,5.7,,0,0,1,0,1
4512,"Frauen, die Geschichte machten",2013,,7.3,,0,0,1,0,1
4513,Gangstars,2018,,7.4,,0,0,1,0,1
4514,Leo the Wildlife Ranger,2015,,7,,0,0,1,0,1
4515,Rob the Robot,2013,,7.7,,0,0,1,0,1
4516,Foxy Ladies,2016,,5.6,,0,0,1,0,1
4517,Private Sales,2016,,5.6,,0,0,1,0,1
4518,Nightmare in Suburbia,2008,,7.9,,0,0,1,0,1
4519,Shadow Force,2008,16+,7.4,,0,0,1,0,1
4520,SciGirls,2010,all,7.2,,0,0,1,0,1
4521,Pet Alien,2005,all,5.1,,0,0,1,0,1
4522,Cosmic Vistas,2009,,8.6,,0,0,1,0,1
4523,La La's Full Court Life,2011,16+,6.4,,0,0,1,0,1
4524,Napoleon: The Campaign of Russia,2014,,7.2,,0,0,1,0,1
4525,Money Hungry,2010,16+,6.9,,0,0,1,0,1
4526,Curious Traveler,2015,,7.8,,0,0,1,0,1
4527,The Irish Mob,2016,16+,7.3,,0,0,1,0,1
4528,Music & Murder,2016,18+,8.5,,0,0,1,0,1
4529,Baby Class First Words And Numbers,2015,,,,0,0,1,0,1
4530,Elders React,2012,,5.8,,0,0,1,0,1
4531,The Tube: Going Underground,2016,,8.2,,0,0,1,0,1
4532,Wishenpoof!,2015,all,4.5,,0,0,1,0,1
4533,The Baker and the Beauty,2013,,,,0,0,1,0,1
4534,Deadliest Journeys,2010,7+,7.9,,0,0,1,0,1
4535,Originalos,2010,,6.8,,0,0,1,0,1
4536,Orphen,1998,,6,,0,0,1,0,1
4537,South Beach Classics,2011,,6,,0,0,1,0,1
4538,Backroads USA,2013,,7.4,,0,0,1,0,1
4539,Boing: The Play Ranger,2015,,7.3,,0,0,1,0,1
4540,Chop Cut Rebuild,2004,,7.9,,0,0,1,0,1
4541,Drovers' Gold,1997,,7.6,,0,0,1,0,1
4542,Empires,2000,all,,,0,0,1,0,1
4543,"The Vietnam War: Before, During, After",2017,,7.1,,0,0,1,0,1
4544,NOVA Wonders,2018,all,7.4,,0,0,1,0,1
